zip,city,state,system_name,pwsid,population,water_source,total_violations,health_violations,unresolved_violations,lead_level_mg_l,copper_level_mg_l,radon_zone,home_safety_score,home_safety_grade,latitude,longitude,contaminant_count,health_contaminant_names,ccr_contaminant_count,ccr_violation_count,enforcement_action_count,enforcement_health_violations,has_active_issues,boil_water_advisories
01105,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.0999,-72.5783,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01106,Longmeadow,MA,LONGMEADOW WATER DEPT,MA1159000,15815,SW,5,2,3,0.0015,,2,78,B,42.0507,-72.5676,2,"Chlorine residual;Haloacetic Acids (HAA5)",,,4,2,true,0
01107,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.1179,-72.6065,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01108,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.0853,-72.5584,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01109,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.1145,-72.5543,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01111,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1707,-72.6048,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01115,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1029,-72.5916,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01116,Longmeadow,MA,LONGMEADOW WATER DEPT,MA1159000,15815,SW,5,2,3,0.0015,,2,77,B,42.1707,-72.6048,2,"Chlorine residual;Haloacetic Acids (HAA5)",,,4,2,true,0
01118,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.0929,-72.5274,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01119,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.1247,-72.5121,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01128,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,80,B,42.0944,-72.4889,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01129,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1223,-72.4876,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01133,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1,-72.59,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01138,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1707,-72.6048,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01139,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1707,-72.6048,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01144,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1018,-72.5915,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01152,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1707,-72.6048,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01199,Springfield,MA,SPRINGFIELD WATER AND SEWER COMMISSION,MA1281000,167954,SW,5,3,0,0.0035,,2,79,B,42.1199,-72.605,1,Total Trihalomethanes (TTHM),1,0,3,0,true,0
01201,Pittsfield,MA,PITTSFIELD DPU WATER DEPT,MA1236000,43927,SW,0,0,0,0.0017,,2,73,B,42.4531,-73.2471,0,,,,3,0,true,1
01202,Pittsfield,MA,PITTSFIELD DPU WATER DEPT,MA1236000,43927,SW,0,0,0,0.0017,,2,83,B,42.3929,-73.2285,0,,,,3,0,true,1
01203,Pittsfield,MA,PITTSFIELD DPU WATER DEPT,MA1236000,43927,SW,0,0,0,0.0017,,2,83,B,42.3929,-73.2285,0,,,,3,0,true,1
01220,Adams,MA,ADAMS FIRE DISTRICT,MA1004000,7851,GW,0,0,0,0.0017,,2,78,B,42.6223,-73.1172,0,,,,0,0,false,0
01225,Cheshire,MA,CHESHIRE WATER DEPT,MA1058000,1407,GW,0,0,0,0.0022,2.6,2,78,B,42.5611,-73.158,0,,,,1,0,true,0
01226,Dalton,MA,DALTON FIRE DISTRICT,MA1070000,6330,SW,0,0,0,0.0017,,2,78,B,42.475,-73.1603,0,,,,1,0,true,0
01227,Dalton,MA,DALTON FIRE DISTRICT,MA1070000,6330,SW,0,0,0,0.0017,,2,83,B,42.4737,-73.1662,0,,,,1,0,true,0
01230,Great Barrington,MA,GREAT BARRINGTON FIRE DIST,MA1113000,4375,GW,15,7,2,0.0053,1.4,2,64,C,42.1959,-73.3607,1,Total Trihalomethanes (TTHM),,,8,4,true,0
01235,Hinsdale,MA,HINSDALE WATER DEPT,MA1132000,1800,SW,6,0,0,0.0145,,2,56,C,42.4298,-73.0724,0,,,,4,0,true,0
01238,Lee,MA,LEE WATER DEPT,MA1150000,5420,SW,2,0,0,0.0038,,2,77,B,42.299,-73.2317,0,,,,2,0,true,0
01240,Lenox,MA,LENOX DPW WATER DIVISION,MA1152000,9800,SW,0,0,0,0.0022,,2,83,B,42.3642,-73.2713,0,,,,1,0,true,0
01244,Mill River,MA,MILL RIVER WATER TAKERS ASSOCIATION,MA1203000,150,GW,0,0,0,0.0009,,2,83,B,42.1228,-73.254,0,,,,1,0,false,0
01245,Monterey,MA,MONTEREY WATER COMPANY,MA1193000,149,GW,0,0,0,0.004,,2,78,B,42.1867,-73.2065,0,,,,0,0,false,0
01247,North Adams,MA,NORTH ADAMS WATER DEPT,MA1209000,13000,SW,0,0,0,0.0023,,2,78,B,42.6955,-73.08,0,,,,0,0,false,0
01253,Otis,MA,BARTOWS MOBILE HOME PARK,MA1225038,25,GW,0,0,0,,,2,75,B,42.1931,-73.0918,0,,,,0,0,false,0
01254,Richmond,MA,VIEW DRIVE WATER ASSOCIATION,MA1249008,38,GW,0,0,0,0.0028,,2,83,B,42.3784,-73.3645,0,,,,0,0,false,0
01255,Sandisfield,MA,BERKSHIRE REHAB SKILLED CARE CTR,MA1260001,100,GW,0,0,0,0.0093,,2,72,B,42.1094,-73.1163,0,,,,1,0,true,0
01257,Sheffield,MA,AQUARION WATER COMPANY,MA1267000,987,GW,3,0,0,0.0042,,2,82,B,42.1001,-73.3611,0,,,,2,0,true,0
01258,South Egremont,MA,EGREMONT WATER DEPT,MA1090000,1000,SW,0,0,0,0.0036,,2,83,B,42.1012,-73.4566,0,,,,0,0,false,0
01259,Southfield,MA,SOUTHFIELD WATER COMPANY,MA1203002,80,GW,0,0,0,0.0007,,2,83,B,42.078,-73.2609,0,,,,1,0,true,0
01262,Stockbridge,MA,STOCKBRIDGE WATER DEPT,MA1283003,2800,SW,0,0,0,0.005,,2,78,B,42.301,-73.3223,0,,,,1,0,true,0
01263,Stockbridge,MA,STOCKBRIDGE WATER DEPT,MA1283003,2800,SW,0,0,0,0.005,,2,83,B,42.3929,-73.2285,0,,,,1,0,true,0
01266,West Stockbridge,MA,WEST STOCKBRIDGE WATER DEPT,MA1326000,535,GW,0,0,0,0.0063,,2,75,B,42.3348,-73.3825,0,,,,0,0,false,0
01267,Williamstown,MA,WILLIAMSTOWN WATER DEPT,MA1341000,7326,GW,0,0,0,0.0029,,2,78,B,42.7089,-73.2036,0,,,,2,0,true,0
01301,Greenfield,MA,GREENFIELD WATER DEPARTMENT,MA1114000,17645,SW,0,0,0,0.0062,,2,75,B,42.6013,-72.6236,0,,,,2,0,true,0
01302,Greenfield,MA,GREENFIELD WATER DEPARTMENT,MA1114000,17645,SW,0,0,0,0.0062,,2,80,B,42.5222,-72.6242,0,,,,2,0,true,0
01330,Ashfield,MA,ASHFIELD WATER DISTRICT,MA1013000,400,GW,4,0,1,0.0148,,2,56,C,42.5232,-72.811,0,,,,4,0,true,0
01331,Athol,MA,ATHOL DPW  WATER DIVISION,MA1015000,10418,GW,0,0,0,0.0023,,1,70,B,42.5959,-72.2267,0,,,,2,0,true,0
01337,Bernardston,MA,BERNARDSTON FIRE  WATER DIST,MA1029000,1462,GW,0,0,0,0.031,,2,58,C,42.6952,-72.5772,0,,,,0,0,false,0
01339,Charlemont,MA,WOODLAND MHP LLC,MA1053030,36,GW,4,0,2,0.0076,,2,72,B,42.608,-72.8901,0,,,,4,0,true,0
01340,Colrain,MA,GRISWOLDVILLE WATER DISTRICT,MA1066001,125,GW,0,0,0,0.0022,,2,83,B,42.679,-72.7265,0,,,,0,0,false,0
01342,Deerfield,MA,SOUTH DEERFIELD WATER SUPPLY DISTRICT,MA1074001,3800,SW,0,0,0,0.0039,,2,83,B,42.5406,-72.6072,0,,,,0,0,false,0
01344,Erving,MA,ERVING WATER DEPT,MA1091000,561,GW,0,0,0,0.003,,2,83,B,42.6076,-72.4292,0,,,,0,0,false,0
01351,Montague,MA,TURNERS FALLS WATER DEPT,MA1192000,8080,GW,0,0,0,0.0019,,2,83,B,42.5429,-72.5328,0,,,,2,0,true,0
